,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
46,145.42,1.0,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.19,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.03,47.6185,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.37,13.07,148.78,0.13705,149.0,163.022497
47,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.03,47.6185,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
48,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.03,47.6185,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
49,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.03,47.6185,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
50,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.03,47.6185,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
51,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.03,47.6185,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
52,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.03,47.6185,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
53,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.03,47.6185,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
54,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.03,47.6185,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
55,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.03,47.6185,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
56,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.03,47.6185,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
57,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.03,47.6185,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
58,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.2,25.0,146.21,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.03,47.6185,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
